inventory_id,availability,purchase
1502,0,2023-05-21
1503,1,2023-02-16
1504,1,2023-07-24
1505,0,2023-01-17
1506,0,2023-07-11
1507,1,2023-08-21
1508,1,2022-12-10
1509,0,2023-03-25
1510,0,2023-09-23
1511,0,2023-03-06
1512,0,2022-12-12
1513,1,2023-09-24
1514,1,2023-05-21
1515,1,2023-04-25
1516,1,2023-03-30
1517,0,2023-08-07
1518,1,2023-09-07
1519,1,2023-05-01
1520,0,2023-01-14
1521,0,2023-10-02
1522,0,2023-08-01
1523,1,2023-01-21
1524,1,2023-02-15
1525,0,2022-12-17
1526,0,2023-02-01
1527,0,2023-09-24
1528,0,2023-08-24
1529,1,2023-10-17
1530,0,2023-07-14
1531,0,2023-08-14
1532,0,2023-11-15
1533,1,2023-02-16
1534,1,2022-12-10
1535,1,2023-06-06
1536,0,2023-08-23
1537,1,2023-06-05
1538,0,2022-12-20
1539,1,2023-03-22
1540,0,2023-07-01
1541,1,2023-05-12
1542,1,2023-05-15
1543,0,2022-12-28
1544,0,2023-01-11
1545,1,2023-02-26
1546,1,2023-01-09
1547,0,2023-04-26
1548,0,2023-01-22
1549,1,2023-10-05
1550,1,2023-02-27
1551,0,2023-11-04
1552,0,2023-01-29
1553,0,2022-12-28
1554,1,2023-07-11
1555,1,2023-06-14
1556,0,2023-09-01
1557,1,2023-09-10
1558,0,2023-01-25
1559,0,2023-07-31
1560,0,2023-08-02
1561,1,2022-12-01
1562,0,2022-12-28
1563,1,2023-01-08
1564,1,2023-03-13
1565,0,2023-04-24
1566,0,2023-10-24
1567,0,2023-09-04
1568,0,2023-04-01
1569,0,2023-01-14
1570,0,2023-09-11
1571,0,2023-05-06
1572,1,2023-04-29
1573,1,2023-01-30
1574,1,2023-07-07
1575,0,2022-12-27
1576,1,2023-05-27
1577,1,2022-12-20
1578,1,2023-08-11
1579,1,2023-10-04
1580,0,2023-06-28
1581,1,2023-07-02
1582,0,2022-12-13
1583,0,2023-11-01
1584,1,2023-04-16
1585,0,2023-02-01
1586,0,2022-12-29
1587,0,2023-09-10
1588,1,2023-01-11
1589,1,2022-11-26
1590,0,2022-12-30
1591,0,2023-08-25
1592,0,2023-11-21
1593,0,2023-01-13
1594,1,2023-03-18
1595,1,2023-10-30
1596,0,2022-12-05
1597,1,2023-05-23
1598,0,2023-11-13
1599,1,2022-12-29
1600,0,2023-09-26
1601,0,2023-10-17
1602,1,2023-05-19
1603,1,2023-07-05
1604,0,2023-05-01
1605,0,2023-07-25
1606,0,2023-03-17
1607,1,2023-03-22
1608,1,2023-06-15
1609,0,2023-11-07
1610,0,2023-08-29
1611,0,2023-06-16
1612,0,2023-04-02
1613,1,2023-09-26
1614,0,2022-12-13
1615,1,2023-02-10
1616,1,2023-05-15
1617,0,2023-04-02
1618,0,2023-06-25
1619,0,2023-04-23
1620,1,2023-04-14
1621,1,2023-06-05
1622,0,2023-10-16
1623,0,2023-10-17
1624,0,2022-12-23
1625,0,2023-04-01
1626,1,2023-01-21
1627,1,2023-10-23
1628,0,2023-01-16
1629,1,2023-09-11
1630,0,2023-05-09
1631,1,2023-05-21
1632,1,2023-10-19
1633,0,2022-12-18
1634,1,2023-10-25
1635,1,2023-10-11
1636,0,2023-02-20
1637,0,2023-09-22
1638,1,2023-11-16
1639,0,2023-05-25
1640,1,2023-06-21
1641,1,2023-06-19
1642,1,2023-09-17
1643,0,2023-08-13
1644,1,2023-05-28
1645,1,2023-08-01
1646,1,2023-08-17
1647,0,2023-09-07
1648,0,2023-01-02
1649,1,2023-03-12
1650,1,2023-11-10
1651,1,2023-06-13
1652,0,2023-01-06
1653,1,2023-02-16
1654,0,2023-05-02
1655,1,2023-06-17
1656,0,2023-07-03
1657,0,2023-03-03
1658,1,2023-07-15
1659,1,2023-08-27
1660,0,2023-01-15
1661,1,2023-03-21
1662,0,2023-01-25
1663,1,2023-06-24
1664,1,2023-11-04
1665,0,2023-03-17
1666,1,2023-02-06
1667,0,2023-09-07
1668,1,2023-06-21
1669,1,2023-08-17
1670,0,2023-06-24
1671,1,2023-05-20
1672,0,2023-02-28
1673,1,2023-04-05
1674,0,2023-06-18
1675,0,2023-04-03
1676,0,2023-02-23
1677,1,2022-12-06
1678,1,2023-01-11
1679,0,2023-02-22
1680,1,2023-01-01
1681,1,2023-06-29
1682,0,2023-08-18
1683,0,2023-05-19
1684,0,2023-10-22
1685,1,2023-08-12
1686,1,2023-08-25
1687,1,2023-02-07
1688,0,2023-08-03
1689,0,2023-04-29
1690,1,2023-09-11
1691,0,2023-07-23
1692,1,2023-11-20
1693,1,2022-12-25
1694,0,2023-04-26
1695,1,2023-11-08
1696,1,2022-12-24
1697,1,2022-12-26
1698,0,2023-03-24
1699,0,2023-05-14
1700,1,2023-10-26
1701,1,2023-05-29
1702,0,2023-10-28
1703,0,2023-09-09
1704,1,2023-03-09
1705,0,2023-01-09
1706,1,2023-11-15
1707,1,2023-05-08
1708,1,2023-05-22
1709,1,2022-11-25
1710,0,2022-12-19
1711,0,2023-01-22
1712,0,2023-10-05
1713,0,2023-02-15
1714,0,2023-05-01
1715,1,2023-01-04
1716,0,2023-08-29
1717,1,2023-08-17
1718,0,2023-04-01
1719,0,2023-04-24
1720,1,2023-06-07
1721,0,2023-10-27
1722,1,2023-08-03
1723,0,2023-01-03
1724,1,2023-01-12
1725,1,2023-10-20
1726,0,2023-06-27
1727,0,2023-10-26
1728,0,2023-03-03
1729,1,2023-02-07
1730,0,2023-03-04
1731,1,2023-09-14
1732,0,2022-12-27
1733,1,2023-03-10
1734,0,2023-11-04
1735,1,2023-11-07
1736,1,2023-07-09
1737,0,2023-04-24
1738,0,2022-11-26
1739,1,2023-02-06
1740,1,2023-11-05
1741,1,2023-05-16
1742,0,2023-06-16
1743,0,2023-10-07
1744,0,2023-07-12
1745,1,2022-12-10
1746,1,2023-04-29
1747,1,2023-05-23
1748,1,2022-12-02
1749,1,2023-04-13
1750,1,2023-10-30
1751,1,2023-01-29
1752,1,2022-11-26
1753,1,2023-03-11
1754,0,2023-10-14
1755,0,2023-09-17
1756,1,2023-02-21
1757,0,2023-04-17
1758,1,2023-03-04
1759,0,2023-03-30
1760,0,2023-06-11
1761,0,2023-08-19
1762,1,2023-07-20
1763,0,2023-09-27
1764,1,2023-02-26
1765,0,2023-01-01
1766,1,2023-03-15
1767,0,2023-02-02
1768,0,2023-05-16
1769,1,2023-09-30
1770,1,2023-10-08
1771,1,2023-05-29
1772,1,2023-11-18
1773,0,2023-10-29
1774,0,2023-08-07
1775,0,2023-01-16
1776,0,2023-03-13
1777,1,2023-01-04
1778,1,2023-10-30
1779,0,2023-05-12
1780,0,2023-10-16
1781,1,2023-02-22
1782,0,2023-02-08
1783,0,2023-07-10
1784,0,2023-07-31
1785,1,2023-01-14
1786,0,2023-02-19
1787,1,2023-04-27
1788,1,2023-06-06
1789,0,2023-04-03
1790,0,2023-09-29
1791,0,2023-06-12
1792,0,2023-01-20
1793,1,2023-08-16
1794,0,2023-02-14
1795,1,2023-05-03
1796,1,2023-02-12
1797,0,2023-08-25
1798,0,2023-11-16
1799,0,2023-09-23
1800,1,2023-10-02
1801,0,2023-11-08
1802,0,2022-12-08
1803,0,2023-05-04
1804,0,2023-09-10
1805,0,2023-09-29
1806,0,2023-07-31
1807,0,2023-10-20
1808,1,2023-04-07
1809,1,2022-12-17
1810,1,2022-12-31
1811,0,2023-08-08
1812,0,2023-10-18
1813,0,2023-08-20
1814,1,2023-02-27
1815,0,2022-12-14
1816,0,2023-08-18
1817,1,2023-07-12
1818,1,2023-02-21
1819,0,2023-09-06
1820,0,2023-09-03
1821,1,2023-03-27
1822,1,2023-03-11
1823,1,2023-02-20
1824,0,2023-04-06
1825,1,2023-09-18
1826,1,2023-02-12
1827,1,2023-01-10
1828,1,2023-11-01
1829,1,2023-09-15
1830,0,2023-08-06
1831,1,2023-07-25
1832,1,2023-04-17
1833,0,2023-09-02
1834,1,2023-01-16
1835,0,2022-12-09
1836,0,2023-03-02
1837,1,2023-08-12
1838,1,2023-02-25
1839,1,2023-09-24
1840,0,2023-07-09
1841,1,2023-09-02
1842,0,2023-07-25
1843,1,2023-04-21
1844,0,2023-09-13
1845,1,2023-02-22
1846,0,2023-04-07
1847,0,2022-12-07
1848,0,2023-09-25
1849,1,2023-04-19
1850,0,2023-02-21
1851,0,2023-09-19
1852,0,2023-02-03
1853,1,2023-04-28
1854,0,2023-05-07
1855,1,2023-07-01
1856,0,2023-03-05
1857,0,2023-02-04
1858,1,2023-02-27
1859,0,2022-12-22
1860,1,2023-07-16
1861,1,2023-05-15
1862,1,2023-07-09
1863,1,2023-10-16
1864,1,2023-08-03
1865,0,2023-02-22
1866,0,2023-07-15
1867,0,2023-03-23
1868,1,2023-04-11
1869,1,2023-01-06
1870,0,2022-12-21
1871,1,2023-03-10
1872,1,2023-10-29
1873,0,2022-12-14
1874,1,2023-08-29
1875,0,2022-12-04
1876,1,2023-02-20
1877,1,2023-11-04
1878,1,2023-05-19
1879,1,2023-03-20
1880,1,2022-12-10
1881,0,2023-08-20
1882,0,2023-10-26
1883,1,2023-06-22
1884,1,2023-10-11
1885,0,2023-04-06
1886,1,2023-03-17
1887,1,2023-03-05
1888,0,2023-10-15
1889,0,2023-08-23
1890,1,2023-09-19
1891,1,2023-10-22
1892,1,2022-12-22
1893,1,2023-11-03
1894,0,2023-08-19
1895,1,2023-08-04
1896,1,2023-04-30
1897,0,2023-09-28
1898,0,2023-07-23
1899,0,2023-11-09
1900,1,2023-08-22
1901,1,2023-02-25
