inventory_id,availability,purchase
1,1,1968-08-31
2,1,2018-02-07
3,0,2010-01-02
4,0,1991-10-13
5,1,2019-03-15
6,0,1972-08-24
7,1,2004-05-29
8,0,2009-09-22
9,1,1985-10-03
10,1,1969-01-18
11,1,1972-04-28
12,1,1985-10-10
13,0,2002-06-28
14,0,1966-08-06
15,1,2016-03-19
16,1,1964-11-06
17,0,1979-12-10
18,0,1972-08-29
19,1,1964-01-20
20,0,2006-02-02
21,0,1968-02-13
22,1,1998-03-23
23,1,2006-08-21
24,1,2003-06-28
25,0,2002-06-09
26,0,1962-06-28
27,0,1998-12-04
28,0,2021-09-15
29,1,1968-10-06
30,0,1977-02-05
31,0,2009-08-25
32,1,1976-09-18
33,1,1997-03-13
34,0,1982-07-04
35,0,1995-01-17
36,0,1987-03-12
37,1,1988-01-26
38,1,1984-04-06
39,0,2013-06-30
40,1,1980-03-02
41,1,1965-04-06
42,0,2020-10-23
43,0,1966-03-03
44,0,2007-07-11
45,0,1996-05-22
46,0,2016-03-11
47,1,2014-07-24
48,0,1998-02-25
49,1,1990-02-01
50,0,1996-05-01
51,0,1971-12-29
52,0,2013-01-26
53,1,2013-11-08
54,0,1998-08-08
55,0,2015-01-14
56,1,1991-07-24
57,0,2021-01-31
58,1,2006-01-15
59,1,2020-05-26
60,1,2001-05-17
61,0,2015-03-10
62,1,1972-08-31
63,0,1993-07-25
64,1,1985-06-23
65,0,1976-04-04
66,0,1976-10-28
67,0,2005-01-30
68,1,2003-04-25
69,1,2017-07-04
70,0,1962-12-08
71,1,1963-11-03
72,1,1983-03-08
73,1,2013-04-12
74,0,2021-05-03
75,1,2002-11-23
76,1,2002-02-25
77,1,2010-02-19
78,0,2022-12-03
79,0,1982-09-14
80,0,2013-04-02
81,0,1970-05-06
82,0,1968-05-14
83,1,1977-07-14
84,0,2004-05-21
85,1,1964-01-07
86,0,2023-07-18
87,0,1985-07-08
88,1,1983-07-30
89,1,1976-03-27
90,1,2008-02-10
91,1,1968-02-11
92,1,1993-07-17
93,1,1978-06-20
94,0,2018-06-22
95,0,2010-09-16
96,1,1994-09-07
97,1,1962-05-21
98,0,1991-11-21
99,1,1987-06-24
100,0,1962-09-23
101,1,2011-09-25
102,1,2008-05-21
103,0,1977-01-05
104,0,1992-10-12
105,1,2019-01-25
106,1,1987-01-02
107,0,1989-10-26
108,1,1974-01-08
109,1,2015-08-30
110,0,2017-07-13
111,0,2008-05-26
112,1,1980-04-09
113,1,2009-11-10
114,1,2013-12-09
115,0,1985-04-28
116,1,1968-02-10
117,0,1979-07-19
118,1,1991-07-26
119,0,1997-03-20
120,1,1984-07-07
121,0,1996-10-08
122,1,1988-06-02
123,0,2019-12-04
124,1,2013-11-23
125,1,2023-07-12
126,0,1988-03-03
127,0,1971-08-30
128,1,2019-10-12
129,1,1986-11-23
130,0,1971-09-12
131,1,1977-12-04
132,1,2019-05-18
133,1,1974-11-11
134,1,1964-04-02
135,1,1974-06-05
136,1,1967-02-28
137,0,1961-01-29
138,1,1971-09-20
139,0,2014-01-17
140,1,1993-03-01
141,0,2018-09-02
142,1,1988-06-21
143,0,1964-06-28
144,1,1973-05-20
145,1,1980-05-03
146,1,2013-11-18
147,1,1980-07-09
148,0,2010-06-02
149,1,2000-02-10
150,0,1979-11-07
151,0,1999-07-14
152,1,2017-11-15
153,1,2009-06-03
154,0,2006-01-30
155,0,1966-12-23
156,1,1968-01-29
157,0,1990-06-24
158,0,1977-11-25
159,0,2014-01-13
160,1,1982-01-28
161,1,2017-08-08
162,0,1978-10-28
163,1,1970-11-13
164,0,1961-05-26
165,0,2004-07-23
166,1,2009-01-19
167,1,2004-07-30
168,0,1998-09-28
169,1,2016-11-21
170,1,1965-09-08
171,1,1991-02-07
172,0,1969-02-28
173,0,1993-05-15
174,1,1996-10-04
175,1,1998-04-17
176,1,2014-07-15
177,1,2004-06-23
178,0,2011-09-17
179,1,1997-01-08
180,0,1999-09-08
181,0,2009-05-03
182,1,2017-01-03
183,0,2007-11-18
184,0,1970-04-04
185,0,2013-06-12
186,1,1999-04-12
187,1,1976-08-30
188,0,1966-03-14
189,0,1984-08-06
190,1,1963-02-06
191,0,2022-06-30
192,0,2013-05-14
193,1,2018-03-04
194,1,1966-08-04
195,0,1980-10-10
196,1,1979-04-16
197,1,2020-06-21
198,0,2009-02-24
199,1,2009-09-07
200,1,1965-08-26
201,0,1984-10-24
202,1,2019-07-18
203,0,1976-10-20
204,1,1977-03-13
205,1,2022-06-25
206,0,1993-11-26
207,1,1997-01-16
208,0,1972-06-04
209,0,1992-12-25
210,1,1961-03-18
211,1,2015-07-23
212,0,2014-08-29
213,0,2005-03-27
214,0,1999-11-03
215,0,1991-02-15
216,1,2002-11-07
217,0,1976-04-10
218,0,1991-12-19
219,0,2016-09-18
220,1,1994-05-20
221,1,1971-01-30
222,1,1962-12-27
223,0,1983-12-17
224,0,1991-12-15
225,1,2022-10-28
226,0,2008-08-24
227,1,1984-04-08
228,0,1970-11-15
229,0,2021-05-10
230,0,1989-07-04
231,0,2009-09-04
232,1,2021-09-12
233,1,1999-08-15
234,0,1992-03-22
235,0,1967-01-03
236,1,2006-09-10
237,1,1967-02-21
238,1,2019-03-18
239,0,2002-04-30
240,0,1986-11-16
241,1,1965-06-10
242,1,2020-06-18
243,0,2020-09-17
244,0,2016-09-27
245,1,2007-08-25
246,0,1962-02-16
247,0,1985-12-09
248,0,2019-12-12
249,1,1974-09-20
250,1,2004-02-01
251,0,1981-01-27
252,0,1971-02-05
253,0,1972-12-07
254,1,2009-08-06
255,0,1999-06-20
256,1,2008-02-24
257,1,1975-04-15
258,0,1963-05-23
259,1,1963-01-25
260,1,1963-06-09
261,1,1972-12-31
262,0,2006-10-18
263,1,2007-11-09
264,0,2018-12-26
265,0,2012-02-15
266,0,2000-04-30
267,0,2021-10-29
268,1,2015-10-11
269,0,1999-06-11
270,1,1982-08-11
271,0,1978-04-07
272,0,1986-07-27
273,1,1976-12-24
274,1,1996-02-20
275,0,2004-07-12
276,1,1986-06-09
277,0,1994-09-01
278,0,1967-10-27
279,0,2019-08-20
280,1,2016-02-02
281,0,2018-08-06
282,0,1978-11-11
283,1,1999-07-21
284,0,2003-05-12
285,0,1971-01-05
286,0,1988-08-02
287,0,1972-08-26
288,0,1974-11-30
289,0,2014-09-19
290,1,1964-03-23
291,0,1998-01-11
292,0,2015-09-30
293,0,1990-08-22
294,1,2003-10-21
295,0,2001-09-02
296,1,1963-05-19
297,1,1972-09-05
298,0,1987-07-24
299,0,2003-02-12
300,0,1981-02-01
301,1,1993-02-27
302,0,2010-04-08
303,1,1991-12-28
304,0,1973-04-20
305,1,1971-02-05
306,1,1973-11-20
307,0,1963-05-01
308,0,1982-06-09
309,0,1997-06-30
310,1,2017-11-18
311,0,1972-01-10
312,0,1968-04-26
313,1,1987-07-19
314,1,1991-12-13
315,0,2017-11-28
316,1,2020-03-15
317,0,1990-11-27
318,1,1971-08-22
319,0,1982-07-02
320,1,2018-04-13
321,1,2018-12-12
322,1,2020-11-18
323,1,1985-07-15
324,0,1975-12-08
325,1,2018-08-28
326,1,1999-05-11
327,1,1998-11-04
328,0,2011-12-09
329,0,2011-09-15
330,1,1967-06-19
331,1,1964-09-22
332,1,2004-11-04
333,1,1994-03-28
334,1,1978-12-01
335,0,2006-11-21
336,0,2014-02-01
337,0,1996-04-14
338,1,2014-04-19
339,1,1979-05-22
340,0,2008-02-03
341,0,2022-05-31
342,0,2015-04-20
343,0,1972-02-19
344,1,1998-08-02
345,1,2011-07-27
346,0,1979-03-27
347,1,1967-07-27
348,1,2007-09-26
349,0,1975-01-21
350,1,1996-07-16
351,1,2002-08-08
352,1,1961-07-04
353,0,1965-10-17
354,1,1965-05-22
355,1,1966-01-10
356,1,1962-06-20
357,1,2020-10-16
358,0,2015-03-11
359,1,1962-02-03
360,0,2000-05-19
361,0,2009-03-08
362,1,1992-11-27
363,1,1961-03-10
364,1,2010-10-23
365,0,1998-10-01
366,0,1965-08-09
367,0,1963-03-05
368,0,2009-03-19
369,0,2010-06-10
