inventory_id,availability,purchase
1401,1,2023-07-26
1402,1,2023-07-05
1403,0,2023-11-09
1404,1,2023-03-14
1405,1,2023-06-21
1406,1,2023-02-20
1407,0,2022-11-30
1408,1,2023-05-03
1409,1,2023-09-06
1410,1,2023-01-25
1411,1,2023-10-24
1412,0,2023-02-03
1413,1,2023-06-22
1414,0,2023-07-17
1415,0,2023-11-20
1416,0,2023-11-14
1417,0,2023-01-30
1418,0,2022-11-25
1419,0,2023-04-30
1420,1,2023-08-25
1421,0,2023-02-25
1422,1,2023-05-25
1423,1,2023-03-08
1424,1,2023-03-24
1425,1,2023-10-27
1426,0,2023-10-13
1427,1,2023-05-31
1428,0,2023-05-03
1429,0,2023-05-11
1430,1,2023-08-08
1431,0,2023-11-17
1432,0,2023-10-11
1433,0,2023-08-15
1434,1,2023-07-10
1435,1,2023-09-27
1436,0,2023-03-28
1437,0,2023-05-29
1438,0,2023-05-16
1439,0,2023-10-31
1440,1,2023-02-05
1441,0,2023-09-25
1442,0,2023-07-05
1443,0,2023-11-01
1444,0,2023-03-19
1445,1,2022-11-27
1446,1,2023-08-17
1447,0,2023-05-27
1448,1,2022-12-08
1449,0,2023-10-26
1450,0,2023-10-22
1451,1,2023-09-06
1452,0,2023-04-10
1453,1,2023-11-15
1454,0,2023-11-11
1455,1,2023-08-11
1456,0,2022-12-15
1457,0,2023-07-15
1458,0,2023-07-04
1459,0,2023-05-05
1460,1,2022-11-26
1461,1,2023-02-25
1462,0,2023-01-21
1463,1,2023-06-18
1464,1,2023-02-13
1465,0,2023-03-12
1466,1,2023-02-19
1467,0,2022-11-27
1468,0,2022-12-09
1469,0,2023-10-09
1470,1,2023-10-01
1471,0,2023-11-12
1472,0,2023-02-25
1473,0,2023-03-20
1474,0,2022-11-29
1475,1,2023-07-20
1476,0,2023-10-20
1477,0,2023-09-29
1478,1,2023-05-14
1479,1,2023-06-16
1480,0,2023-01-31
1481,1,2023-05-21
1482,1,2023-09-21
1483,0,2023-03-03
1484,0,2023-09-15
1485,1,2023-08-22
1486,0,2023-03-15
1487,0,2023-06-23
1488,0,2023-04-24
1489,1,2023-09-03
1490,1,2023-05-27
1491,1,2023-09-08
1492,0,2023-06-30
1493,1,2023-05-30
1494,1,2023-08-21
1495,1,2023-01-23
1496,1,2023-02-05
1497,0,2023-03-25
1498,0,2023-06-21
1499,0,2023-11-16
1500,0,2023-08-18
1501,1,2023-05-15
